,store,sido,gungu,store_address
109,도화(서울),서울,마포구,"서울 마포구 도화동 179-8 1,2층"
110,망원2동,서울,마포구,서울 마포구 망원2동 474-15
111,상암,서울,마포구,서울 마포구 상암동 34-45
112,성산2동,서울,마포구,서울 마포구 성산동 592
113,신공덕,서울,마포구,서울 마포구 신공덕동 159(신공덕 래미안상가 1동109호)
114,신수,서울,마포구,서울 마포구 신수동 451번지 세양청마루아파트 상가 101호
115,아현,서울,마포구,서울 마포구 아현동 774 마포래미안 푸르지오 101동 상가 114호
116,연남,서울,마포구,서울 마포구 연남동 369-20
117,홍대,서울,마포구,서울 마포구 서교동 371-3
118,독립문,서울,서대문구,서울 서대문구 냉천동 228
119,명지대,서울,서대문구,서울 서대문구 남가좌동 344-7
120,북가좌1호,서울,서대문구,서울 서대문구 응암로 11
121,북아현1호,서울,서대문구,서울 서대문구 북아현동 1006
122,신촌,서울,서대문구,서울 서대문구 창천동 41-14
123,연희1호(서울),서울,서대문구,서울 서대문구 연희3동 344-26
124,홍은1호,서울,서대문구,서울 서대문구 홍제동 279-52
125,홍은사거리,서울,서대문구,서울 서대문구 홍제동 326-20
126,반포1호,서울,서초구,서울 서초구 반포동 1053 H동 26호
127,방배1호,서울,서초구,서울 서초구 방배동 761-8
128,방배2호,서울,서초구,서울 서초구 방배동 912-8
129,서초1호,서울,서초구,서울 서초구 서초동 1357-56
130,서초2호,서울,서초구,서울 서초구 서초동 1669-15
131,서초3호,서울,서초구,서울 서초구 서초동 1579-5
132,양재1호,서울,서초구,서울 서초구 양재동 327-2
133,잠원1호,서울,서초구,서울 서초구 잠원동 15-4
134,금호역,서울,성동구,서울 성동구 금호동4가 1380
135,성수1호,서울,성동구,서울 성동구 성수동2가 235-1
136,성수역,서울,성동구,서울 성동구 성수동2가 289-251
137,왕십리1호,서울,성동구,서울 성동구 하왕십리동 946-15
138,왕십리도선,서울,성동구,서울 성동구 홍익동 131-1
139,응봉,서울,성동구,서울 성동구 응봉동 100 상가내 1층
140,동덕여대,서울,성북구,서울 성북구 하월곡동 17-1
141,동소문,서울,성북구,서울 성북구 동소문동 6가 227 1층
142,보문역,서울,성북구,서울 성북구 보문동2가 40
143,석관장위,서울,성북구,서울 성북구 장위2동 64-129
144,정릉1호,서울,성북구,서울 성북구 정릉4동 285-4
145,정릉2호,서울,성북구,서울 성북구 정릉동 175-24
146,가락2호,서울,송파구,서울 송파구 가락동 75-7
147,거여가락1호,서울,송파구,서울 송파구 가락동 180-9
148,마천1호,서울,송파구,서울 송파구 거여동 32-6
149,문정법조,서울,송파구,서울 송파구 문정동 620 송파푸르지오시티 B09호
150,방이2호,서울,송파구,서울 송파구 방이동 59-1
151,방이역,서울,송파구,서울 송파구 오금동 41-23 성암빌딩 1층
152,석촌,서울,송파구,서울 송파구 석촌동 163-1
153,송파1호,서울,송파구,서울 송파구 송파동 147
154,위례송파,서울,송파구,"서울 송파구 장지동 894 위례아이파크 상가1동 103호, 104호"
155,잠실1호,서울,송파구,서울 송파구 잠실본동 313-8
156,잠실2호,서울,송파구,서울 송파구 신천동 11-4
157,장지,서울,송파구,서울 송파구 문정동 102-1
158,풍납1호,서울,송파구,서울 송파구 풍납2동 405번지
159,목동1호,서울,양천구,서울 양천구 목동 797-3
160,목동2호,서울,양천구,서울 양천구 목동 909-8 이화프라자 1층 101호
161,목동오거리,서울,양천구,서울 양천구 목동 940 현대아이파크상가 102
162,신월2호,서울,양천구,서울 양천구 신월7동 972-6
163,신정1호,서울,양천구,서울 양천구 신정1동 1027-2
164,신트리,서울,양천구,서울 양천구 신정동 1267 목동뉴프라자
